train episode:0, reward = 0.9314804447921725, state count = 6, state = [19, 67, 80, 97, 128, 153]
train episode:25, reward = 0.7746733529380025, state count = 6, state = [1, 19, 64, 70, 73, 180]
train episode:26, reward = 0.780712860043446, state count = 6, state = [19, 48, 88, 99, 158, 169]
train episode:27, reward = 0.7742071600008793, state count = 6, state = [1, 19, 36, 136, 166, 180]
train episode:28, reward = 0.7742071600008793, state count = 6, state = [11, 19, 24, 69, 163, 180]
evaluate episode:2.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:29, reward = 0.7742071600008793, state count = 6, state = [4, 19, 24, 32, 171, 180]
train episode:30, reward = 0.7742071600008793, state count = 6, state = [19, 24, 127, 149, 170, 180]
train episode:31, reward = 0.7742071600008793, state count = 6, state = [1, 4, 16, 19, 24, 180]
train episode:32, reward = 0.7756051992341988, state count = 6, state = [19, 36, 62, 65, 128, 154]
train episode:33, reward = 0.7746722762799492, state count = 6, state = [19, 24, 54, 78, 93, 180]
train episode:34, reward = 0.7742071600008793, state count = 6, state = [19, 27, 100, 124, 152, 170]
train episode:35, reward = 0.7742071600008793, state count = 6, state = [19, 24, 127, 136, 170, 180]
train episode:36, reward = 0.7742066204228293, state count = 6, state = [19, 24, 50, 118, 120, 180]
train episode:37, reward = 0.7749053714994875, state count = 6, state = [19, 24, 51, 75, 107, 180]
train episode:38, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
evaluate episode:3.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:39, reward = 0.7728128878217234, state count = 6, state = [1, 19, 24, 30, 120, 180]
train episode:40, reward = 0.7739740647813409, state count = 6, state = [1, 19, 24, 31, 55, 180]
train episode:41, reward = 0.7742071600008793, state count = 6, state = [19, 24, 36, 51, 157, 180]
train episode:42, reward = 0.7742060833428259, state count = 6, state = [1, 19, 20, 24, 32, 180]
train episode:43, reward = 0.7751384692170722, state count = 6, state = [1, 19, 24, 58, 112, 145]
train episode:44, reward = 0.7742082366589329, state count = 6, state = [19, 24, 84, 87, 122, 180]
train episode:45, reward = 0.7742071600008793, state count = 6, state = [19, 24, 76, 85, 157, 170]
train episode:46, reward = 0.774904294841434, state count = 6, state = [4, 19, 24, 80, 81, 180]
train episode:47, reward = 0.7728128878217234, state count = 6, state = [1, 18, 19, 30, 72, 138]
train episode:48, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
evaluate episode:4.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:49, reward = 0.9916338298450611, state count = 6, state = [1, 19, 24, 33, 82, 180]
train episode:50, reward = 0.7728128878217234, state count = 6, state = [1, 19, 24, 30, 132, 180]
train episode:51, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 36, 180]
train episode:52, reward = 0.7746728133599526, state count = 6, state = [19, 60, 120, 161, 168, 180]
train episode:53, reward = 0.7742071600008793, state count = 6, state = [19, 24, 85, 167, 170, 179]
train episode:54, reward = 0.7751384692170722, state count = 6, state = [1, 19, 57, 88, 166, 171]
train episode:55, reward = 0, state count = 0, state = []
train episode:56, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:57, reward = 0.7756041225761454, state count = 6, state = [19, 24, 57, 85, 88, 109]
train episode:58, reward = 0.7756019692600387, state count = 6, state = [1, 4, 19, 24, 67, 180]
evaluate episode:5.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:59, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 49, 133, 180]
train episode:60, reward = 0.7739783714135546, state count = 6, state = [1, 19, 24, 63, 92, 180]
train episode:61, reward = 0.7742071600008793, state count = 6, state = [19, 22, 37, 83, 123, 180]
train episode:62, reward = 0.7746728133599526, state count = 6, state = [1, 19, 24, 109, 154, 180]
train episode:63, reward = 0.7742071600008793, state count = 6, state = [12, 19, 24, 62, 121, 180]
train episode:64, reward = 0.7746728133599526, state count = 6, state = [8, 19, 24, 113, 180, 182]
train episode:65, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:66, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 141, 180]
train episode:67, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 82, 85, 180]
train episode:68, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 83, 133, 180]
evaluate episode:6.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:69, reward = 0.7742071600008793, state count = 6, state = [1, 4, 11, 19, 24, 180]
train episode:70, reward = 0.7742071600008793, state count = 6, state = [1, 2, 5, 19, 24, 180]
train episode:71, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 56, 160, 180]
train episode:72, reward = 0.7800184180970482, state count = 6, state = [1, 19, 24, 48, 63, 180]
train episode:73, reward = 0.7742071600008793, state count = 6, state = [1, 11, 19, 24, 133, 180]
train episode:74, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 32, 66, 159]
train episode:75, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 46, 170, 180]
train episode:76, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 179, 180]
train episode:77, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:78, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 96, 103, 180]
evaluate episode:7.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:79, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 85, 163, 180]
train episode:80, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 74, 133, 180]
train episode:81, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 36, 72, 180]
train episode:82, reward = 0.7742071600008793, state count = 6, state = [1, 16, 19, 27, 40, 71]
train episode:83, reward = 0.78233699746798, state count = 6, state = [1, 19, 24, 42, 48, 180]
train episode:84, reward = 0.7756051992341988, state count = 6, state = [1, 17, 19, 24, 65, 180]
train episode:85, reward = 0.774673890018006, state count = 6, state = [1, 19, 24, 87, 111, 180]
train episode:86, reward = 0.7751379296390223, state count = 6, state = [1, 19, 24, 57, 161, 180]
train episode:87, reward = 0.9442490597352868, state count = 6, state = [1, 19, 24, 55, 119, 180]
train episode:88, reward = 0.7742071600008793, state count = 6, state = [1, 5, 19, 24, 157, 180]
evaluate episode:8.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:89, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 147, 164, 180]
train episode:90, reward = 0.7732774645227433, state count = 6, state = [1, 19, 24, 30, 79, 180]
train episode:91, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 38, 180]
train episode:92, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 133, 164, 180]
train episode:93, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 130, 133, 180]
train episode:94, reward = 0.7742071600008794, state count = 6, state = [1, 19, 24, 94, 133, 180]
train episode:95, reward = 0.7742071600008793, state count = 6, state = [19, 22, 24, 54, 177, 180]
train episode:96, reward = 0.7742082366589329, state count = 6, state = [1, 19, 24, 83, 89, 104]
train episode:97, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 123, 133, 180]
train episode:98, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 129, 180]
evaluate episode:9.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:99, reward = 0.775603585496142, state count = 6, state = [1, 19, 22, 24, 61, 180]
train episode:100, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 49, 100, 180]
train episode:101, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 90, 177, 180]
train episode:102, reward = 0.9307838470316213, state count = 6, state = [1, 19, 24, 97, 116, 180]
train episode:103, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 178, 179, 180]
train episode:104, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:105, reward = 0.7744397181404143, state count = 6, state = [1, 19, 21, 24, 138, 180]
train episode:106, reward = 0.7742071600008793, state count = 6, state = [1, 8, 19, 24, 66, 180]
train episode:107, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:108, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 64, 151, 170]
evaluate episode:10.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:109, reward = 0.7742071600008793, state count = 6, state = [1, 5, 19, 24, 41, 180]
train episode:110, reward = 0.7732790807588465, state count = 6, state = [1, 19, 24, 26, 28, 73]
train episode:111, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:112, reward = 0.7742071600008793, state count = 6, state = [19, 22, 24, 35, 147, 182]
train episode:113, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 36, 135, 177]
train episode:114, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 133, 180]
train episode:115, reward = 0.7742060833428259, state count = 6, state = [1, 19, 20, 24, 49, 180]
train episode:116, reward = 0.7758372202937303, state count = 6, state = [1, 19, 24, 65, 87, 90]
train episode:117, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 157, 180]
train episode:118, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 123, 180]
evaluate episode:11.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 148, 180]
train episode:119, reward = 0.7742071600008793, state count = 6, state = [1, 16, 19, 24, 85, 180]
train episode:120, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 148, 180]
train episode:121, reward = 0.7742071600008794, state count = 6, state = [1, 19, 24, 94, 128, 180]
train episode:122, reward = 0.7742071600008793, state count = 6, state = [1, 10, 19, 24, 159, 180]
train episode:123, reward = 0.7749053714994875, state count = 6, state = [1, 19, 24, 53, 75, 180]
train episode:124, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 27, 125, 180]
train episode:125, reward = 0.7755987392858785, state count = 6, state = [1, 13, 19, 24, 42, 180]
train episode:126, reward = 0.7742071600008793, state count = 6, state = [1, 6, 19, 24, 134, 180]
train episode:127, reward = 0.7751400829551292, state count = 6, state = [1, 19, 24, 43, 64, 180]
train episode:128, reward = 0.9433204434132507, state count = 6, state = [1, 19, 24, 119, 167, 180]
evaluate episode:12.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 148, 180]
train episode:129, reward = 0.7742071600008793, state count = 6, state = [19, 24, 36, 96, 106, 120]
train episode:130, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 90, 180]
train episode:131, reward = 0.7730465226193116, state count = 6, state = [1, 19, 24, 28, 118, 125]
train episode:132, reward = 0.7744397181404143, state count = 6, state = [1, 4, 19, 21, 24, 180]
train episode:133, reward = 0.7742087737389363, state count = 6, state = [1, 4, 19, 24, 29, 180]
train episode:134, reward = 0.7742071600008793, state count = 6, state = [1, 13, 19, 24, 74, 180]
train episode:135, reward = 0.7746728133599526, state count = 6, state = [1, 4, 19, 24, 110, 180]
train episode:136, reward = 0.7739746018613445, state count = 6, state = [1, 19, 24, 31, 155, 180]
train episode:137, reward = 0.7751384692170722, state count = 6, state = [1, 4, 19, 24, 112, 180]
train episode:138, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 148, 180]
evaluate episode:13.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 148, 180]
train episode:139, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 132, 175, 180]
train episode:140, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 148, 180]
train episode:141, reward = 0.7746728133599526, state count = 6, state = [1, 4, 19, 24, 109, 180]
train episode:142, reward = 0.7751384692170722, state count = 6, state = [1, 4, 19, 24, 112, 180]
train episode:143, reward = 0.7751384692170722, state count = 6, state = [1, 19, 24, 59, 96, 142]
train episode:144, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 84, 173, 180]
train episode:145, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 37, 72, 175]
train episode:146, reward = 0.773973525203291, state count = 6, state = [19, 20, 24, 86, 118, 149]
train episode:147, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 145, 180]
train episode:148, reward = 0.7742071600008793, state count = 6, state = [1, 4, 7, 19, 24, 180]
evaluate episode:14.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 148, 180]
train episode:149, reward = 0.7742071600008793, state count = 6, state = [1, 6, 19, 24, 142, 180]
train episode:150, reward = 0.7746717367018993, state count = 6, state = [1, 19, 24, 39, 79, 180]
train episode:151, reward = 0.7742071600008794, state count = 6, state = [1, 19, 24, 94, 123, 180]
train episode:152, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 85, 108, 181]
train episode:153, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 124, 180]
train episode:154, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 36, 83, 100]
train episode:155, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 46, 47, 180]
train episode:156, reward = 0.7739746018613445, state count = 6, state = [1, 4, 19, 24, 31, 180]
train episode:157, reward = 0.7742071600008793, state count = 6, state = [1, 19, 22, 24, 154, 180]
train episode:158, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 149, 153, 180]
evaluate episode:15.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 170, 180]
train episode:159, reward = 0.7751384692170722, state count = 6, state = [1, 4, 19, 24, 114, 180]
train episode:160, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 117, 180]
train episode:161, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 101, 180]
train episode:162, reward = 0.7742071600008793, state count = 6, state = [1, 5, 19, 24, 108, 164]
train episode:163, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 145, 180]
train episode:164, reward = 0.7751400829551292, state count = 6, state = [1, 4, 19, 24, 43, 180]
train episode:165, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 170, 180]
train episode:166, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 47, 72, 180]
train episode:167, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 162, 180]
train episode:168, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 170, 180]
evaluate episode:16.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 85, 180]
train episode:169, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 85, 180]
train episode:170, reward = 0.7744397181404143, state count = 6, state = [1, 19, 21, 24, 37, 165]
train episode:171, reward = 0.7751384692170722, state count = 6, state = [1, 19, 24, 36, 59, 83]
train episode:172, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 82, 122, 145]
train episode:173, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 85, 102, 180]
train episode:174, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 170, 180]
train episode:175, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 161, 180]
train episode:176, reward = 0.7742071600008793, state count = 6, state = [1, 9, 19, 24, 171, 180]
train episode:177, reward = 0, state count = 0, state = []
train episode:178, reward = 0.775603585496142, state count = 6, state = [1, 4, 19, 24, 61, 180]
evaluate episode:17.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 80, 180]
train episode:179, reward = 0.7742071600008793, state count = 6, state = [12, 19, 23, 24, 108, 149]
train episode:180, reward = 0.7742082366589329, state count = 6, state = [1, 4, 19, 24, 91, 180]
train episode:181, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 54, 99, 180]
train episode:182, reward = 0.7742071600008793, state count = 6, state = [2, 19, 24, 120, 131, 136]
train episode:183, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 80, 180]
train episode:184, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 131, 180]
train episode:185, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 52, 180]
train episode:186, reward = 0.7751373925590188, state count = 6, state = [2, 19, 24, 75, 89, 165]
train episode:187, reward = 0.7760697759352186, state count = 6, state = [1, 19, 24, 45, 83, 96]
train episode:188, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 62, 161, 180]
evaluate episode:18.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 148, 180]
train episode:189, reward = 0.7742071600008793, state count = 6, state = [1, 18, 19, 24, 108, 171]
train episode:190, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 148, 180]
train episode:191, reward = 0.7742082366589329, state count = 6, state = [1, 4, 19, 24, 89, 180]
train episode:192, reward = 0.7739746018613445, state count = 6, state = [1, 4, 19, 24, 31, 180]
train episode:193, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 36, 154, 180]
train episode:194, reward = 0.9307838470316213, state count = 6, state = [1, 19, 24, 80, 97, 180]
train episode:195, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 35, 118, 178]
train episode:196, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 46, 134, 177]
train episode:197, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 39, 66, 120]
train episode:198, reward = 0.7739746018613445, state count = 6, state = [1, 10, 19, 24, 86, 180]
evaluate episode:19.9, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 80, 83, 180]
train episode:199, reward = 0.7744407947984676, state count = 6, state = [1, 19, 24, 73, 91, 180]
train episode:200, reward = 0.7742071600008793, state count = 6, state = [1, 17, 19, 24, 172, 180]
train episode:201, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 80, 83, 180]
train episode:202, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 95, 153, 180]
train episode:203, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 118, 139, 180]
train episode:204, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 49, 83, 180]
train episode:205, reward = 0.7742082366589329, state count = 6, state = [1, 19, 24, 83, 87, 180]
train episode:206, reward = 0.7742071600008793, state count = 6, state = [1, 8, 19, 24, 83, 180]
train episode:207, reward = 0.7751384692170722, state count = 6, state = [1, 19, 24, 83, 114, 132]
train episode:208, reward = 0.7742071600008793, state count = 6, state = [1, 16, 19, 24, 83, 180]
evaluate episode:20.9, reward = 0.7739756785193979, state count = 6, state = [1, 19, 24, 55, 83, 180]
train episode:209, reward = 0.7753726435927104, state count = 6, state = [1, 19, 24, 55, 65, 117]
train episode:210, reward = 0.7739756785193979, state count = 6, state = [1, 19, 24, 55, 83, 180]
train episode:211, reward = 0.7742071600008793, state count = 6, state = [1, 3, 19, 24, 54, 180]
train episode:212, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 25, 46, 180]
train episode:213, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 83, 159, 180]
train episode:214, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 83, 150, 180]
train episode:215, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 68, 83, 180]
train episode:216, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 26, 161, 181]
train episode:217, reward = 0.7739756785193979, state count = 6, state = [1, 19, 24, 55, 83, 180]
train episode:218, reward = 0.9433204434132507, state count = 6, state = [1, 18, 19, 24, 119, 160]
evaluate episode:21.9, reward = 0.7742082366589329, state count = 6, state = [1, 19, 24, 83, 91, 180]
train episode:219, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 83, 180]
train episode:220, reward = 0.7742071600008793, state count = 6, state = [1, 18, 19, 24, 164, 180]
train episode:221, reward = 0.77583452989762, state count = 6, state = [1, 19, 24, 61, 91, 180]
train episode:222, reward = 0.7746728133599526, state count = 6, state = [1, 18, 19, 24, 110, 180]
train episode:223, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 105, 180, 182]
train episode:224, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 131, 141, 180]
train episode:225, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 36, 105, 180]
train episode:226, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 36, 99, 180]
train episode:227, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 36, 161, 180]
train episode:228, reward = 0.7751379296390223, state count = 6, state = [1, 4, 19, 24, 57, 180]
evaluate episode:22.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 36, 180]
train episode:229, reward = 0.7742082366589329, state count = 6, state = [1, 16, 19, 24, 87, 180]
train episode:230, reward = 0.7746728133599526, state count = 6, state = [1, 19, 24, 111, 178, 180]
train episode:231, reward = 0.7742071600008793, state count = 6, state = [1, 2, 19, 24, 85, 180]
train episode:232, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 36, 100, 180]
train episode:233, reward = 0.7725803296821885, state count = 6, state = [1, 19, 24, 30, 31, 70]
train episode:234, reward = 0.7742071600008793, state count = 6, state = [1, 17, 19, 24, 123, 180]
train episode:235, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 27, 84, 180]
train episode:236, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 103, 125, 180]
train episode:237, reward = 0.7755987392858785, state count = 6, state = [1, 19, 24, 42, 83, 99]
train episode:238, reward = 0.7742082366589329, state count = 6, state = [1, 19, 24, 88, 143, 180]
evaluate episode:23.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 108, 180]
train episode:239, reward = 0.7742066204228293, state count = 6, state = [19, 22, 24, 50, 117, 174]
train episode:240, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 118, 124, 166]
train episode:241, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 169, 180]
train episode:242, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 82, 180]
train episode:243, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 153, 156, 180]
train episode:244, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 170, 180]
train episode:245, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 168, 170, 180]
train episode:246, reward = 0.7742082366589329, state count = 6, state = [1, 19, 24, 89, 138, 180]
train episode:247, reward = 0.77281127158562, state count = 6, state = [19, 20, 24, 30, 50, 175]
train episode:248, reward = 0.7746728133599526, state count = 6, state = [1, 19, 24, 60, 101, 171]
evaluate episode:24.9, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 108, 180]
train episode:249, reward = 0.7739746018613445, state count = 6, state = [9, 19, 24, 35, 86, 128]
train episode:250, reward = 0.7746717367018993, state count = 6, state = [1, 19, 24, 79, 179, 180]
train episode:251, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 40, 180]
train episode:252, reward = 0.7746728133599526, state count = 6, state = [1, 19, 24, 108, 113, 180]
train episode:253, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 108, 180]
train episode:254, reward = 0.7742082366589329, state count = 6, state = [1, 19, 24, 40, 91, 180]
train episode:255, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 134, 161, 180]
train episode:256, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 90, 177, 180]
train episode:257, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 163, 180]
train episode:258, reward = 0.7742071600008793, state count = 6, state = [1, 4, 19, 24, 142, 180]
evaluate episode:25.9, reward = 0.7728139644797768, state count = 6, state = [1, 19, 24, 30, 91, 180]
train episode:259, reward = 0.7746733529380025, state count = 6, state = [1, 19, 24, 73, 90, 144]
train episode:260, reward = 0.7742071600008793, state count = 6, state = [1, 13, 19, 24, 168, 180]
train episode:261, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 96, 166, 180]
train episode:262, reward = 0.7742071600008793, state count = 6, state = [1, 19, 24, 51, 168, 180]
train episode:263, reward = 0.7728128878217234, state count = 6, state = [1, 19, 24, 30, 151, 180]
train episode:264, reward = 0.7742071600008793, state count = 6, state = [1, 9, 19, 24, 98, 180]
train episode:265, reward = 0.7728139644797768, state count = 6, state = [1, 19, 24, 30, 91, 180]
train episode:266, reward = 0.7742071600008793, state count = 6, state = [19, 24, 72, 140, 141, 163]
train episode:267, reward = 0.7728128878217234, state count = 6, state = [1, 12, 19, 24, 30, 180]
train episode:268, reward = 0.7728128878217234, state count = 6, state = [1, 19, 24, 30, 105, 180]
evaluate episode:26.9, reward = 0.7728139644797768, state count = 6, state = [1, 19, 24, 30, 91, 180]
train episode:269, reward = 0.7728128878217234, state count = 6, state = [1, 19, 24, 30, 66, 180]
train episode:270, reward = 0.7742082366589329, state count = 6, state = [1, 19, 24, 89, 140, 180]
train episode:271, reward = 0.7742082366589329, state count = 6, state = [1, 19, 24, 91, 180, 183]
train episode:272, reward = 0.7742071600008793, state count = 6, state = [1, 7, 19, 24, 169, 180]
train episode:273, reward = 0.7742071600008793, state count = 6, state = [1, 19, 23, 24, 116, 180]
