train episode:0, reward = 0.6016270501467852, state count = 7, state = [1, 32, 37, 78, 83, 128, 161]
train episode:66, reward = 0.988850671275063, state count = 7, state = [7, 32, 33, 47, 80, 88, 158]
train episode:67, reward = 0.6018552966580135, state count = 7, state = [7, 24, 32, 34, 47, 80, 88]
train episode:68, reward = 0.6018552966580135, state count = 7, state = [7, 24, 32, 34, 47, 80, 88]
evaluate episode:6.9, reward = 0.6018552966580135, state count = 7, state = [7, 24, 32, 34, 47, 80, 88]
train episode:69, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 100]
train episode:70, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 52, 80, 88, 101]
train episode:71, reward = 0.9934937578813366, state count = 7, state = [7, 17, 32, 80, 86, 88, 132]
train episode:72, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 149]
train episode:73, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 114, 158]
train episode:74, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 36, 47, 80, 88]
train episode:75, reward = 0.6004599478208041, state count = 7, state = [7, 20, 32, 47, 80, 131, 136]
train episode:76, reward = 0.6078921133673467, state count = 7, state = [7, 31, 32, 40, 47, 88, 172]
train episode:77, reward = 0.5990667547977482, state count = 7, state = [7, 32, 34, 47, 53, 80, 88]
train episode:78, reward = 0.8148832862701368, state count = 7, state = [7, 32, 47, 88, 97, 114, 168]
evaluate episode:7.9, reward = 0.6018552966580135, state count = 7, state = [7, 24, 32, 34, 47, 80, 88]
train episode:79, reward = 0.6018563708180202, state count = 7, state = [7, 31, 32, 47, 88, 94, 137]
train episode:80, reward = 0.6060332644871711, state count = 7, state = [7, 11, 32, 47, 72, 76, 88]
train episode:81, reward = 0.606265283048656, state count = 7, state = [7, 32, 47, 80, 88, 99, 117]
train episode:82, reward = 0.6260327249091211, state count = 7, state = [2, 7, 32, 47, 88, 143, 154]
train episode:83, reward = 0.9384410216210923, state count = 7, state = [7, 27, 46, 47, 61, 79, 174]
train episode:84, reward = 0.6023198733590334, state count = 7, state = [7, 32, 34, 47, 80, 88, 117]
train episode:85, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 38, 47, 88, 164]
train episode:86, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 84, 88]
train episode:87, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 102]
train episode:88, reward = 0.59929876836314, state count = 7, state = [7, 32, 34, 42, 47, 80, 88]
evaluate episode:8.9, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:89, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:90, reward = 0.6023198733590334, state count = 7, state = [7, 32, 34, 47, 80, 88, 118]
train episode:91, reward = 0.6064994574242942, state count = 7, state = [7, 32, 43, 47, 71, 80, 88]
train episode:92, reward = 0.6058007063476363, state count = 5, state = [7, 32, 47, 80, 88]
train episode:93, reward = 0.5995340243929247, state count = 7, state = [6, 7, 32, 47, 80, 85, 88]
train episode:94, reward = 0.640219310998799, state count = 7, state = [7, 32, 47, 62, 80, 88, 145]
train episode:95, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 80, 88, 135, 181]
train episode:96, reward = 0.59929876836314, state count = 7, state = [7, 32, 34, 42, 47, 80, 88]
train episode:97, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 104]
train episode:98, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
evaluate episode:9.9, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:99, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 178]
train episode:100, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:101, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 133]
train episode:102, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 88, 121, 145, 147]
train episode:103, reward = 0.6071955156067955, state count = 7, state = [7, 27, 32, 47, 88, 118, 166]
train episode:104, reward = 0.6111506202149919, state count = 7, state = [1, 7, 32, 47, 77, 80, 149]
train episode:105, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 38, 47, 80, 88]
train episode:106, reward = 0.6058007063476363, state count = 7, state = [7, 32, 38, 47, 80, 84, 88]
train episode:107, reward = 0.6064973041081875, state count = 7, state = [7, 32, 47, 88, 96, 139, 149]
train episode:108, reward = 0.5969818052283115, state count = 7, state = [7, 32, 34, 47, 80, 88, 93]
evaluate episode:10.9, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:109, reward = 0.6058007063476363, state count = 7, state = [7, 8, 32, 47, 70, 88, 100]
train episode:110, reward = 0.5944242077695243, state count = 7, state = [30, 32, 47, 51, 74, 88, 126]
train episode:111, reward = 0.600228463841276, state count = 7, state = [7, 32, 38, 45, 47, 80, 88]
train episode:112, reward = 0.6097509647455689, state count = 7, state = [7, 32, 37, 47, 48, 88, 98]
train episode:113, reward = 0.6055681482081012, state count = 7, state = [7, 22, 29, 32, 47, 68, 88]
train episode:114, reward = 0.606265283048656, state count = 7, state = [7, 32, 47, 80, 88, 118, 121]
train episode:115, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 142]
train episode:116, reward = 0.598830966684053, state count = 7, state = [7, 32, 47, 53, 105, 174, 175]
train episode:117, reward = 0.606265283048656, state count = 7, state = [7, 32, 47, 88, 98, 117, 120]
train episode:118, reward = 0.6013896383028472, state count = 7, state = [7, 32, 42, 47, 80, 88, 90]
evaluate episode:11.9, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 180]
train episode:119, reward = 0.6020878547975483, state count = 7, state = [7, 11, 32, 34, 47, 80, 88]
train episode:120, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 180]
train episode:121, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 180]
train episode:122, reward = 0.548455787574117, state count = 7, state = [7, 19, 32, 47, 88, 134, 173]
train episode:123, reward = 0.6064973041081875, state count = 7, state = [7, 32, 47, 51, 80, 88, 150]
train episode:124, reward = 0.601391796615047, state count = 7, state = [7, 32, 34, 47, 80, 83, 88]
train episode:125, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 80, 88, 101, 143]
train episode:126, reward = 0.9470332899672457, state count = 7, state = [7, 26, 47, 56, 88, 122, 137]
train episode:127, reward = 0.8601912054773168, state count = 7, state = [7, 32, 47, 61, 80, 88, 178]
train episode:128, reward = 0.5992971571231297, state count = 7, state = [7, 9, 21, 32, 47, 88, 99]
evaluate episode:12.9, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:129, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 49, 88, 129, 164]
train episode:130, reward = 0.5986021755986819, state count = 7, state = [3, 7, 28, 32, 47, 74, 88]
train episode:131, reward = 0.6058007063476363, state count = 7, state = [7, 13, 32, 47, 80, 88, 180]
train episode:132, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:133, reward = 0.5228803175916433, state count = 7, state = [7, 9, 29, 47, 84, 105, 142]
train episode:134, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 70, 88, 104, 166]
train episode:135, reward = 0.5934848173728144, state count = 7, state = [7, 47, 72, 77, 88, 161, 176]
train episode:136, reward = 0.6055697644442046, state count = 7, state = [7, 32, 47, 80, 88, 112, 159]
train episode:137, reward = 0.6020878547975483, state count = 7, state = [7, 11, 32, 34, 47, 80, 88]
train episode:138, reward = 0.6018552966580135, state count = 7, state = [1, 7, 32, 34, 47, 80, 88]
evaluate episode:13.9, reward = 0.6018552966580135, state count = 7, state = [1, 7, 32, 34, 47, 80, 88]
train episode:139, reward = 0.6064983807662409, state count = 7, state = [7, 32, 37, 47, 80, 88, 176]
train episode:140, reward = 0.6383577692244665, state count = 7, state = [7, 32, 47, 61, 88, 165, 182]
train episode:141, reward = 0.5296288077723221, state count = 7, state = [7, 19, 32, 34, 47, 80, 88]
train episode:142, reward = 0.6048704737894967, state count = 7, state = [7, 32, 47, 80, 88, 110, 142]
train episode:143, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 181]
train episode:144, reward = 0.6064983807662407, state count = 7, state = [7, 29, 32, 47, 75, 80, 88]
train episode:145, reward = 0.6213654072515292, state count = 7, state = [7, 32, 47, 86, 88, 106, 178]
train episode:146, reward = 0.5993009266753399, state count = 7, state = [7, 32, 47, 56, 88, 93, 99]
train episode:147, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 80, 88, 130, 182]
train episode:148, reward = 0.6006925084583855, state count = 7, state = [7, 28, 32, 47, 80, 87, 88]
evaluate episode:14.9, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 181]
train episode:149, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 80, 88, 89, 106]
train episode:150, reward = 0.6262652830486559, state count = 7, state = [2, 7, 32, 47, 80, 88, 91]
train episode:151, reward = 0.6023198733590334, state count = 7, state = [7, 32, 34, 47, 80, 88, 118]
train episode:152, reward = 0.5993014662533899, state count = 7, state = [7, 32, 47, 85, 88, 151, 157]
train episode:153, reward = 0.949353485574281, state count = 7, state = [7, 47, 54, 79, 88, 153, 178]
train episode:154, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 123]
train episode:155, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 88, 100, 113, 126]
train episode:156, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 164]
train episode:157, reward = 0.6004599478208041, state count = 7, state = [7, 20, 32, 38, 47, 88, 146]
train episode:158, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 88, 143, 177, 179]
evaluate episode:15.9, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 181]
train episode:159, reward = 0, state count = 0, state = []
train episode:160, reward = 0.6055681482081012, state count = 7, state = [7, 29, 32, 47, 88, 99, 161]
train episode:161, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 84, 88]
train episode:162, reward = 0.7695349936349775, state count = 7, state = [7, 19, 47, 64, 78, 88, 128]
train episode:163, reward = 0.6044134361928971, state count = 7, state = [7, 30, 32, 34, 47, 80, 88]
train episode:164, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 133]
train episode:165, reward = 0.8364729556486827, state count = 7, state = [7, 16, 18, 23, 72, 76, 119]
train episode:166, reward = 0.613018087355688, state count = 7, state = [7, 32, 34, 35, 47, 80, 88]
train episode:167, reward = 0.5988358103962701, state count = 7, state = [7, 32, 47, 69, 80, 88, 137]
train episode:168, reward = 0.6053366667266198, state count = 7, state = [7, 32, 47, 56, 80, 88, 90]
evaluate episode:16.9, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 181]
train episode:169, reward = 0.6058017830056897, state count = 7, state = [7, 32, 34, 47, 64, 80, 88]
train episode:170, reward = 0.5993009266753397, state count = 7, state = [7, 32, 47, 65, 80, 88, 115]
train episode:171, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 88, 126, 142, 157]
train episode:172, reward = 0.6376611714639153, state count = 7, state = [7, 32, 47, 55, 80, 82, 88]
train episode:173, reward = 0.7170511834745229, state count = 7, state = [7, 16, 32, 35, 47, 88, 89]
train episode:174, reward = 0.9467996551696574, state count = 7, state = [7, 47, 88, 124, 154, 170, 181]
train episode:175, reward = 0.6067298622477224, state count = 7, state = [7, 26, 32, 47, 51, 79, 88]
train episode:176, reward = 0.6051030319290315, state count = 7, state = [7, 32, 47, 80, 88, 110, 123]
train episode:177, reward = 0.5337986969190094, state count = 7, state = [6, 7, 42, 47, 88, 168, 178]
train episode:178, reward = 0.6044053575104268, state count = 7, state = [7, 32, 47, 88, 111, 130, 156]
evaluate episode:17.9, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:179, reward = 0.5983712336952502, state count = 7, state = [7, 27, 32, 47, 74, 88, 118]
train episode:180, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:181, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 162]
train episode:182, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 181]
train episode:183, reward = 0.6058007063476363, state count = 7, state = [7, 32, 46, 47, 88, 125, 143]
train episode:184, reward = 0.6058017830056897, state count = 7, state = [7, 32, 34, 47, 54, 80, 88]
train episode:185, reward = 0.6060332644871711, state count = 7, state = [6, 7, 32, 47, 80, 88, 121]
train episode:186, reward = 0.6018552966580135, state count = 7, state = [7, 22, 32, 34, 47, 80, 88]
train episode:187, reward = 0.6078921133673467, state count = 7, state = [7, 24, 31, 32, 47, 88, 174]
train episode:188, reward = 0.6023198733590334, state count = 7, state = [7, 32, 34, 47, 80, 88, 117]
evaluate episode:18.9, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:189, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:190, reward = 0.6411452369247249, state count = 7, state = [7, 32, 47, 48, 80, 88, 158]
train episode:191, reward = 0.6016216618604251, state count = 7, state = [7, 32, 47, 51, 85, 88, 169]
train episode:192, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 66, 88, 114, 150]
train episode:193, reward = 0.5999986010939445, state count = 7, state = [7, 32, 47, 88, 108, 116, 181]
train episode:194, reward = 0.6058007063476363, state count = 7, state = [7, 18, 32, 47, 56, 80, 88]
train episode:195, reward = 0.6095140999738204, state count = 7, state = [7, 32, 40, 47, 50, 88, 169]
train episode:196, reward = 0.6018536779238635, state count = 7, state = [7, 32, 42, 47, 88, 136, 151]
train episode:197, reward = 0.6039450899396671, state count = 7, state = [7, 15, 32, 34, 47, 80, 88]
train episode:198, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 156]
evaluate episode:19.9, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 156]
train episode:199, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 179]
train episode:200, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 104]
train episode:201, reward = 0.7161209509163833, state count = 7, state = [7, 13, 32, 35, 47, 88, 126]
train episode:202, reward = 0.9395908924221258, state count = 7, state = [1, 7, 38, 47, 88, 109, 114]
train episode:203, reward = 0.5235801453263548, state count = 7, state = [4, 7, 47, 59, 88, 159, 174]
train episode:204, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 80, 88, 172, 179]
train episode:205, reward = 0.6060348807232745, state count = 7, state = [7, 16, 32, 47, 80, 88, 112]
train episode:206, reward = 0.9419175529735746, state count = 7, state = [7, 47, 88, 114, 151, 163, 172]
train episode:207, reward = 0.6069624203872572, state count = 7, state = [7, 9, 32, 47, 76, 88, 124]
train episode:208, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 156]
evaluate episode:20.9, reward = 0.6018558362360634, state count = 7, state = [7, 32, 34, 47, 80, 88, 112]
train episode:209, reward = 0.56334758718682, state count = 7, state = [7, 47, 52, 88, 105, 106, 109]
train episode:210, reward = 0.6013901803789437, state count = 7, state = [7, 32, 34, 47, 80, 88, 109]
train episode:211, reward = 0.6023204129370832, state count = 7, state = [7, 29, 32, 34, 47, 80, 88]
train episode:212, reward = 0.6018558362360634, state count = 7, state = [7, 32, 34, 47, 80, 88, 112]
train episode:213, reward = 0.5272951501925494, state count = 7, state = [7, 20, 47, 62, 63, 84, 88]
train episode:214, reward = 0.6078921133673467, state count = 7, state = [7, 31, 32, 47, 80, 88, 153]
train episode:215, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 144]
train episode:216, reward = 0.5979055778381306, state count = 7, state = [7, 32, 47, 57, 66, 88, 150]
train episode:217, reward = 0.6055697644442046, state count = 7, state = [7, 32, 47, 80, 88, 112, 128]
train episode:218, reward = 0.6030180873556878, state count = 7, state = [7, 32, 34, 47, 80, 88, 114]
evaluate episode:21.9, reward = 0.5988358103962701, state count = 7, state = [7, 32, 34, 47, 69, 80, 88]
train episode:219, reward = 0.988850671275063, state count = 7, state = [7, 32, 33, 47, 80, 88, 164]
train episode:220, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 88, 146, 158, 171]
train episode:221, reward = 0.5270642082891179, state count = 7, state = [7, 19, 29, 32, 47, 80, 88]
train episode:222, reward = 0.6058007063476363, state count = 7, state = [7, 8, 32, 47, 88, 98, 156]
train episode:223, reward = 0.6262652830486559, state count = 7, state = [2, 7, 32, 47, 80, 88, 89]
train episode:224, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 88, 98, 140, 176]
train episode:225, reward = 0.6381262877429851, state count = 7, state = [7, 32, 34, 47, 62, 80, 88]
train episode:226, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 107]
train episode:227, reward = 0.5245076849903375, state count = 7, state = [5, 7, 47, 64, 69, 88, 150]
train episode:228, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 71, 80, 88, 131]
evaluate episode:22.9, reward = 0.6034826640567077, state count = 7, state = [7, 31, 32, 34, 47, 80, 88]
train episode:229, reward = 0.6211371532461615, state count = 7, state = [7, 32, 47, 58, 88, 138, 142]
train episode:230, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 80, 88, 99, 140]
train episode:231, reward = 0.9677072679164894, state count = 7, state = [7, 41, 59, 68, 89, 113, 130]
train episode:232, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 165]
train episode:233, reward = 0.6023204129370833, state count = 7, state = [7, 32, 34, 47, 78, 80, 88]
train episode:234, reward = 0.60487155044755, state count = 7, state = [7, 32, 47, 78, 88, 108, 135]
train episode:235, reward = 0.5946443780963288, state count = 7, state = [4, 7, 39, 47, 78, 127, 182]
train episode:236, reward = 0.5263681476085701, state count = 7, state = [7, 47, 57, 87, 88, 103, 168]
train episode:237, reward = 0.6078921133673467, state count = 7, state = [7, 31, 32, 47, 80, 88, 125]
train episode:238, reward = 0.6139402412313572, state count = 7, state = [7, 16, 32, 47, 88, 125, 181]
evaluate episode:23.9, reward = 0.6004631777949644, state count = 7, state = [7, 31, 32, 47, 69, 80, 88]
train episode:239, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 80, 88, 139, 171]
train episode:240, reward = 0.64138102503842, state count = 7, state = [7, 32, 47, 61, 88, 160, 163]
train episode:241, reward = 0.6046379156499617, state count = 7, state = [7, 22, 32, 47, 87, 88, 110]
train episode:242, reward = 0.6069613437292039, state count = 7, state = [7, 32, 39, 47, 54, 80, 88]
train episode:243, reward = 0.607427536666327, state count = 7, state = [7, 14, 32, 47, 80, 88, 107]
train episode:244, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 80, 88, 95, 156]
train episode:245, reward = 0.6395216365801943, state count = 7, state = [7, 22, 32, 47, 63, 88, 92]
train episode:246, reward = 0.59930092667534, state count = 7, state = [4, 7, 32, 47, 69, 80, 88]
train episode:247, reward = 0.59930092667534, state count = 7, state = [4, 7, 32, 47, 69, 80, 88]
train episode:248, reward = 0.5235774499341515, state count = 7, state = [7, 21, 47, 88, 90, 118, 133]
evaluate episode:24.9, reward = 0.5988358103962701, state count = 7, state = [7, 32, 47, 69, 80, 88, 181]
train episode:249, reward = 0.6215979653910642, state count = 7, state = [7, 32, 38, 47, 68, 86, 88]
train episode:250, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 80, 88, 95, 172]
train episode:251, reward = 0.5981381359776654, state count = 7, state = [7, 32, 47, 69, 80, 88, 109]
train episode:252, reward = 0.6099986010939447, state count = 7, state = [7, 32, 35, 47, 69, 80, 88]
train episode:253, reward = 0.5979055778381306, state count = 7, state = [7, 32, 47, 69, 80, 85, 88]
train episode:254, reward = 0.6004599478208041, state count = 7, state = [7, 20, 32, 47, 71, 88, 163]
train episode:255, reward = 0.5988358103962701, state count = 7, state = [7, 18, 32, 47, 69, 80, 88]
train episode:256, reward = 0.5988358103962701, state count = 7, state = [7, 32, 47, 69, 80, 88, 173]
train episode:257, reward = 0.5988358103962701, state count = 7, state = [7, 32, 47, 69, 80, 88, 127]
