max = 5, decision tree, 10folds
train episode:0, reward = 0.9892284601109521, state count = 5, state = [27, 33, 60, 110, 128]
train episode:49, reward = 0.9599593092895355, state count = 5, state = [59, 103, 118, 164, 173]
train episode:50, reward = 0.9136169877364116, state count = 5, state = [103, 118, 136, 168, 173]
train episode:51, reward = 0.910163348928615, state count = 5, state = [59, 103, 104, 118, 173]
train episode:52, reward = 0.9237804206316106, state count = 5, state = [18, 103, 118, 168, 173]
train episode:53, reward = 0.9148431013843771, state count = 5, state = [59, 103, 118, 173, 183]
train episode:54, reward = 0.9119913837521771, state count = 5, state = [103, 118, 122, 168, 173]
train episode:55, reward = 0.9967483797556028, state count = 5, state = [26, 103, 168, 173, 183]
train episode:56, reward = 0.9221564741477467, state count = 5, state = [95, 110, 118, 128, 173]
train episode:57, reward = 0.9317118017284287, state count = 5, state = [41, 80, 92, 103, 177]
train episode:58, reward = 0.8819117034942426, state count = 5, state = [21, 107, 118, 140, 173]
evaluate episode:5.9, reward = 0.9489853452784868, state count = 5, state = [3, 103, 168, 173, 183]
train episode:59, reward = 0.896744984146941, state count = 5, state = [45, 103, 117, 118, 173]
train episode:60, reward = 0.9819097277605181, state count = 5, state = [38, 39, 91, 118, 173]
train episode:61, reward = 0.9489853452784868, state count = 5, state = [3, 103, 168, 173, 183]
train episode:62, reward = 0.9138202414482638, state count = 5, state = [9, 103, 140, 168, 173]
train episode:63, reward = 0.9166661855381395, state count = 5, state = [103, 168, 173, 177, 181]
train episode:64, reward = 0.9219519836081107, state count = 5, state = [103, 145, 168, 173, 183]
train episode:65, reward = 0.9211410385370012, state count = 5, state = [41, 103, 109, 118, 173]
train episode:66, reward = 0.9197182743093588, state count = 5, state = [103, 127, 168, 173, 183]
train episode:67, reward = 0.9176840964837851, state count = 5, state = [84, 103, 129, 168, 173]
train episode:68, reward = 0.9489853452784868, state count = 5, state = [3, 103, 168, 173, 183]
evaluate episode:6.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:69, reward = 0.9136169877364116, state count = 5, state = [103, 108, 118, 168, 173]
train episode:70, reward = 0.910163348928615, state count = 5, state = [13, 59, 103, 118, 173]
train episode:71, reward = 0.9136169877364116, state count = 5, state = [101, 103, 118, 168, 173]
train episode:72, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:73, reward = 0.9136169877364116, state count = 5, state = [5, 103, 118, 168, 173]
train episode:74, reward = 0.9904463198436986, state count = 5, state = [33, 101, 103, 168, 173]
train episode:75, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:76, reward = 0.8959369250073278, state count = 5, state = [51, 103, 123, 132, 173]
train episode:77, reward = 0.9158523478182072, state count = 5, state = [103, 137, 160, 168, 173]
train episode:78, reward = 0.9973573079426442, state count = 5, state = [23, 46, 60, 65, 103]
evaluate episode:7.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:79, reward = 0.9286588766500316, state count = 5, state = [2, 118, 133, 168, 170]
train episode:80, reward = 0.9231727326310166, state count = 5, state = [103, 132, 168, 173, 183]
train episode:81, reward = 0.9162592658385076, state count = 5, state = [103, 118, 161, 168, 173]
train episode:82, reward = 0.9335357053960521, state count = 5, state = [35, 103, 168, 173, 183]
train episode:83, reward = 0.9136169877364116, state count = 5, state = [53, 101, 103, 168, 173]
train episode:84, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:85, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:86, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:87, reward = 0.9091466748107537, state count = 5, state = [59, 103, 118, 141, 173]
train episode:88, reward = 0.9969516301087914, state count = 5, state = [34, 47, 102, 166, 173]
evaluate episode:8.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:89, reward = 0.9262186271873253, state count = 5, state = [103, 142, 168, 173, 183]
train episode:90, reward = 0.9323166054768584, state count = 5, state = [79, 103, 168, 173, 183]
train episode:91, reward = 0.9180872905860797, state count = 5, state = [79, 103, 173, 177, 181]
train episode:92, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:93, reward = 0.9323166054768584, state count = 5, state = [79, 103, 168, 173, 183]
train episode:94, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:95, reward = 0.9459353296422295, state count = 5, state = [103, 111, 136, 168, 173]
train episode:96, reward = 0.9136169877364116, state count = 5, state = [95, 103, 118, 168, 173]
train episode:97, reward = 0.992071094238082, state count = 5, state = [22, 31, 103, 168, 173]
train episode:98, reward = 0.987195108516566, state count = 5, state = [55, 68, 103, 104, 173]
evaluate episode:9.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:99, reward = 0.8077291946002501, state count = 5, state = [6, 73, 89, 103, 148]
train episode:100, reward = 0.9136169877364116, state count = 5, state = [12, 53, 103, 168, 173]
train episode:101, reward = 0.9144287573593772, state count = 5, state = [87, 103, 118, 168, 173]
train episode:102, reward = 0.9646349406653492, state count = 5, state = [48, 103, 168, 173, 183]
train episode:103, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:104, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:105, reward = 0.9953227195204741, state count = 5, state = [22, 103, 118, 168, 173]
train episode:106, reward = 0.879473089700595, state count = 2, state = [103, 173]
train episode:107, reward = 0.9199215263418792, state count = 5, state = [72, 103, 168, 173, 183]
train episode:108, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
evaluate episode:10.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:109, reward = 0.9274393778895629, state count = 5, state = [103, 143, 168, 173, 183]
train episode:110, reward = 0.9231719047204974, state count = 5, state = [103, 153, 168, 173, 183]
train episode:111, reward = 0.9199215263418792, state count = 5, state = [103, 117, 168, 173, 183]
train episode:112, reward = 0.9140234918014523, state count = 5, state = [103, 118, 132, 168, 173]
train episode:113, reward = 0.9963414617353024, state count = 5, state = [3, 40, 103, 157, 173]
train episode:114, reward = 0.9219495015558838, state count = 5, state = [51, 103, 167, 168, 173]
train episode:115, reward = 0.9315031783535221, state count = 5, state = [90, 103, 168, 173, 183]
train episode:116, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:117, reward = 0.9187011879155694, state count = 5, state = [103, 152, 168, 173, 183]
train episode:118, reward = 0.9184942153237069, state count = 5, state = [37, 103, 168, 173, 178]
evaluate episode:11.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:119, reward = 0.947360562487445, state count = 5, state = [103, 114, 119, 152, 173]
train episode:120, reward = 0.9256088710897641, state count = 5, state = [103, 144, 168, 173, 183]
train episode:121, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:122, reward = 0.9121933922395866, state count = 5, state = [103, 105, 123, 168, 173]
train episode:123, reward = 0.9550808515917829, state count = 5, state = [103, 119, 168, 173, 181]
train episode:124, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:125, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:126, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:127, reward = 0.9247999907569586, state count = 5, state = [77, 103, 168, 173, 183]
train episode:128, reward = 0.917680786521039, state count = 5, state = [69, 77, 123, 169, 173]
evaluate episode:12.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:129, reward = 0.9097580968053436, state count = 5, state = [28, 103, 152, 168, 173]
train episode:130, reward = 0.9967487920315309, state count = 5, state = [26, 98, 101, 103, 173]
train episode:131, reward = 0.9949162154554335, state count = 5, state = [25, 103, 112, 168, 173]
train episode:132, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:133, reward = 0.8849592471542633, state count = 5, state = [15, 57, 93, 103, 173]
train episode:134, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:135, reward = 0.9142267438339726, state count = 5, state = [42, 52, 103, 168, 173]
train episode:136, reward = 0.9018337243993022, state count = 5, state = [8, 31, 103, 121, 173]
train episode:137, reward = 0.9898386318431044, state count = 5, state = [3, 33, 35, 103, 171]
train episode:138, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
evaluate episode:13.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:139, reward = 0.9199215263418792, state count = 5, state = [53, 103, 168, 173, 183]
train episode:140, reward = 0.9542694942447456, state count = 5, state = [27, 99, 103, 168, 173]
train episode:141, reward = 0.9205316963946999, state count = 5, state = [69, 103, 168, 173, 183]
train episode:142, reward = 0.9227649900588603, state count = 5, state = [103, 129, 168, 173, 183]
train episode:143, reward = 0.9142267438339726, state count = 5, state = [42, 103, 116, 168, 173]
train episode:144, reward = 0.9256088710897641, state count = 5, state = [103, 144, 168, 173, 183]
train episode:145, reward = 0.9961386219787102, state count = 5, state = [40, 87, 103, 168, 173]
train episode:146, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:147, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:148, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
evaluate episode:14.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:149, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:150, reward = 0.9378019299820121, state count = 5, state = [13, 103, 163, 168, 173]
train episode:151, reward = 0.925812533718881, state count = 5, state = [103, 149, 168, 173, 183]
train episode:152, reward = 0.9239857407610979, state count = 5, state = [103, 160, 168, 173, 183]
train episode:153, reward = 0.9211402139851449, state count = 5, state = [21, 103, 168, 173, 183]
train episode:154, reward = 0.9851609374083191, state count = 5, state = [4, 36, 103, 148, 173]
train episode:155, reward = 0.9479666114603169, state count = 5, state = [42, 56, 103, 168, 173]
train episode:156, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:157, reward = 0.9136169877364116, state count = 5, state = [12, 103, 104, 168, 173]
train episode:158, reward = 0.9162588535625795, state count = 5, state = [103, 152, 159, 168, 173]
evaluate episode:15.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:159, reward = 0.9953227195204741, state count = 5, state = [1, 17, 103, 168, 173]
train episode:160, reward = 0.9924775983031227, state count = 5, state = [25, 31, 103, 168, 173]
train episode:161, reward = 0.9967483797556028, state count = 5, state = [26, 103, 168, 173, 183]
train episode:162, reward = 0.9420760046039213, state count = 5, state = [2, 103, 114, 168, 173]
train episode:163, reward = 0.9573153854423909, state count = 5, state = [16, 103, 144, 168, 173]
train episode:164, reward = 0.9136169877364116, state count = 5, state = [69, 98, 103, 168, 173]
train episode:165, reward = 0.9304856830424679, state count = 5, state = [51, 64, 103, 168, 173]
train episode:166, reward = 0.924797099787467, state count = 5, state = [103, 124, 168, 173, 183]
train episode:167, reward = 0.9199215263418792, state count = 5, state = [103, 115, 168, 173, 183]
train episode:168, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
evaluate episode:16.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:169, reward = 0.92967515360595, state count = 5, state = [103, 150, 168, 173, 183]
train episode:170, reward = 0.9207345344719604, state count = 5, state = [20, 103, 168, 173, 183]
train episode:171, reward = 0.9260166069445941, state count = 5, state = [89, 103, 168, 173, 183]
train episode:172, reward = 0.91239706158603, state count = 5, state = [95, 103, 133, 168, 173]
train episode:173, reward = 0.9150397519640541, state count = 5, state = [73, 103, 157, 168, 173]
train episode:174, reward = 0.9119905575209893, state count = 5, state = [14, 103, 133, 168, 173]
train episode:175, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:176, reward = 0.9428840620642029, state count = 5, state = [56, 103, 168, 173, 183]
train episode:177, reward = 0.9245909567854556, state count = 5, state = [4, 75, 103, 168, 173]
train episode:178, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
evaluate episode:17.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:179, reward = 0.956503200184834, state count = 5, state = [16, 103, 168, 173, 183]
train episode:180, reward = 0.9231727326310166, state count = 5, state = [103, 132, 168, 173, 183]
train episode:181, reward = 0.9262165624490217, state count = 5, state = [63, 103, 168, 173, 177]
train episode:182, reward = 0.9201247783743994, state count = 5, state = [13, 103, 168, 173, 183]
train episode:183, reward = 0.9808938815531763, state count = 5, state = [18, 92, 103, 134, 173]
train episode:184, reward = 0.9355661626622835, state count = 5, state = [70, 76, 103, 173, 180]
train episode:185, reward = 0.9221544077301115, state count = 5, state = [74, 103, 168, 173, 183]
train episode:186, reward = 0.9207349484272201, state count = 5, state = [42, 103, 168, 173, 183]
train episode:187, reward = 0.9223572390900454, state count = 5, state = [18, 103, 138, 157, 173]
train episode:188, reward = 0.9199215263418792, state count = 5, state = [85, 103, 168, 173, 183]
evaluate episode:18.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:189, reward = 0.8831308017341047, state count = 5, state = [21, 103, 117, 160, 173]
train episode:190, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:191, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:192, reward = 0.9195150205975068, state count = 5, state = [103, 141, 168, 173, 183]
train episode:193, reward = 0.9258146001365164, state count = 5, state = [103, 154, 168, 173, 183]
train episode:194, reward = 0.9428840620642029, state count = 5, state = [56, 103, 168, 173, 183]
train episode:195, reward = 0.9148364999315337, state count = 5, state = [103, 138, 158, 168, 173]
train episode:196, reward = 0.9953227195204741, state count = 5, state = [17, 103, 160, 168, 173]
train episode:197, reward = 0.9199215263418792, state count = 5, state = [103, 107, 168, 173, 183]
train episode:198, reward = 0.9199215263418792, state count = 5, state = [4, 103, 168, 173, 183]
evaluate episode:19.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:199, reward = 0.9473552045797122, state count = 5, state = [55, 103, 160, 168, 173]
train episode:200, reward = 0.8839434093435798, state count = 5, state = [24, 88, 104, 172, 173]
train episode:201, reward = 0.8851645639250872, state count = 5, state = [20, 94, 103, 132, 173]
train episode:202, reward = 0.9898361497908779, state count = 5, state = [6, 33, 94, 103, 173]
train episode:203, reward = 0.9136169877364116, state count = 5, state = [10, 102, 103, 168, 173]
train episode:204, reward = 0.9239857407610979, state count = 5, state = [103, 160, 168, 173, 183]
train episode:205, reward = 0.9233763986187966, state count = 5, state = [103, 156, 168, 173, 183]
train episode:206, reward = 0.8628014370981631, state count = 5, state = [80, 85, 103, 151, 156]
train episode:207, reward = 0.9199215263418792, state count = 5, state = [103, 139, 168, 173, 183]
train episode:208, reward = 0.9136169877364116, state count = 5, state = [6, 103, 108, 168, 173]
evaluate episode:20.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:209, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:210, reward = 0.879473089700595, state count = 3, state = [103, 148, 173]
train episode:211, reward = 0.9219495015558838, state count = 5, state = [69, 103, 167, 168, 173]
train episode:212, reward = 0.9520345397215513, state count = 5, state = [63, 103, 114, 168, 173]
train episode:213, reward = 0.9180881201759308, state count = 5, state = [88, 103, 155, 168, 173]
train episode:214, reward = 0.9197178603540991, state count = 5, state = [96, 103, 168, 173, 183]
train episode:215, reward = 0.9215475442813734, state count = 5, state = [103, 168, 173, 174, 183]
train episode:216, reward = 0.9459345034110417, state count = 5, state = [42, 103, 110, 168, 173]
train episode:217, reward = 0.9154462560290947, state count = 5, state = [14, 103, 156, 168, 173]
train episode:218, reward = 0.9199215263418792, state count = 5, state = [103, 138, 168, 173, 183]
evaluate episode:21.9, reward = 0.9239857374024346, state count = 5, state = [103, 168, 173, 177, 183]
train episode:219, reward = 0.9239857374024346, state count = 5, state = [103, 168, 173, 177, 183]
train episode:220, reward = 0.9203288566381076, state count = 5, state = [30, 103, 168, 173, 183]
train episode:221, reward = 0.9071129193370977, state count = 5, state = [30, 89, 103, 125, 173]
train episode:222, reward = 0.9341479435458397, state count = 5, state = [64, 103, 168, 173, 183]
train episode:223, reward = 0.925812533718881, state count = 5, state = [103, 149, 168, 173, 183]
train episode:224, reward = 0.9184942153237069, state count = 5, state = [37, 103, 104, 168, 173]
train episode:225, reward = 0.9123950002063899, state count = 5, state = [29, 103, 149, 168, 173]
train episode:226, reward = 0.9170722756479206, state count = 5, state = [98, 103, 126, 168, 173]
train episode:227, reward = 0.9282523876989762, state count = 5, state = [103, 151, 168, 173, 183]
train episode:228, reward = 0.9957321179136696, state count = 5, state = [40, 65, 103, 123, 173]
evaluate episode:22.9, reward = 0.9239857374024346, state count = 5, state = [103, 168, 173, 177, 183]
train episode:229, reward = 0.9223547671138089, state count = 5, state = [37, 103, 142, 168, 173]
train episode:230, reward = 0.9136169877364116, state count = 5, state = [86, 103, 106, 168, 173]
train episode:231, reward = 0.9231714924445692, state count = 5, state = [39, 103, 168, 173, 183]
train episode:232, reward = 0.9274393778895629, state count = 5, state = [103, 143, 168, 173, 183]
train episode:233, reward = 0.9524348546096764, state count = 5, state = [61, 103, 125, 168, 173]
train episode:234, reward = 0.9353678579408996, state count = 5, state = [70, 103, 114, 168, 173]
train episode:235, reward = 0.9256088710897641, state count = 5, state = [103, 144, 168, 173, 183]
train episode:236, reward = 0.9471556680685392, state count = 5, state = [34, 103, 109, 168, 173]
train episode:237, reward = 0.9499999546580445, state count = 5, state = [103, 163, 168, 173, 183]
train episode:238, reward = 0.9191056339596333, state count = 5, state = [14, 21, 60, 103, 173]
evaluate episode:23.9, reward = 0.9239857374024346, state count = 5, state = [103, 168, 173, 177, 183]
train episode:239, reward = 0.982723151525191, state count = 5, state = [38, 103, 160, 168, 173]
train episode:240, reward = 0.9953227195204741, state count = 5, state = [22, 103, 168, 173, 183]
train episode:241, reward = 0.9136169877364116, state count = 3, state = [103, 168, 173]
train episode:242, reward = 0.9239857374024346, state count = 5, state = [103, 168, 173, 177, 183]
train episode:243, reward = 0.8926828327866939, state count = 5, state = [8, 63, 103, 160, 173]
train episode:244, reward = 0.9239857374024346, state count = 5, state = [103, 168, 173, 177, 183]
train episode:245, reward = 0.9221544077301115, state count = 5, state = [74, 103, 168, 173, 183]
train episode:246, reward = 0.9967487920315309, state count = 5, state = [26, 30, 103, 159, 173]
train episode:247, reward = 0.9199215263418792, state count = 5, state = [102, 103, 168, 173, 183]
train episode:248, reward = 0.9193092865127598, state count = 5, state = [65, 94, 103, 141, 173]
evaluate episode:24.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:249, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:250, reward = 0.9268279659709633, state count = 5, state = [92, 103, 116, 165, 173]
train episode:251, reward = 0.9967483797556028, state count = 5, state = [26, 103, 168, 173, 183]
train episode:252, reward = 0.9201251923296592, state count = 5, state = [70, 103, 168, 173, 183]
train episode:253, reward = 0.9205316947153681, state count = 5, state = [7, 103, 168, 173, 183]
train episode:254, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:255, reward = 0.9215442343186273, state count = 5, state = [3, 103, 150, 168, 173]
train episode:256, reward = 0.9288646224901003, state count = 5, state = [103, 168, 169, 173, 183]
train episode:257, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:258, reward = 0.9205316947153681, state count = 5, state = [7, 103, 168, 173, 183]
evaluate episode:25.9, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:259, reward = 0.9487792056351386, state count = 5, state = [103, 110, 168, 173, 176]
train episode:260, reward = 0.9963418740112304, state count = 5, state = [54, 103, 170, 171, 173]
train episode:261, reward = 0.9197182743093588, state count = 5, state = [103, 127, 168, 173, 183]
train episode:262, reward = 0.9136169877364116, state count = 5, state = [94, 103, 118, 168, 173]
train episode:263, reward = 0.9859772555011462, state count = 5, state = [19, 48, 103, 168, 173]
train episode:264, reward = 0.9199215263418792, state count = 5, state = [103, 118, 168, 173, 183]
train episode:265, reward = 0.9776439154504862, state count = 5, state = [67, 103, 168, 173, 183]
train episode:266, reward = 0.9343532569580002, state count = 5, state = [44, 103, 168, 173, 183]
train episode:267, reward = 0.9136169877364116, state count = 5, state = [8, 93, 103, 168, 173]
train episode:268, reward = 0.9166645330757642, state count = 5, state = [82, 103, 145, 168, 173]
evaluate episode:26.9, reward = 0.9957321179136696, state count = 5, state = [54, 103, 168, 173, 183]
train episode:269, reward = 0.9184909087196242, state count = 5, state = [79, 95, 103, 168, 173]
train episode:270, reward = 0.9810987826894089, state count = 5, state = [68, 83, 103, 168, 173]
train episode:271, reward = 0.9256088710897641, state count = 5, state = [103, 144, 168, 173, 183]
train episode:272, reward = 0.9148364999315337, state count = 5, state = [103, 141, 158, 168, 173]
train episode:273, reward = 0.9223638573362057, state count = 5, state = [83, 103, 168, 173, 183]
train episode:274, reward = 0.925206082546071, state count = 5, state = [78, 103, 168, 173, 183]
train episode:275, reward = 0.9199215263418792, state count = 5, state = [103, 106, 168, 173, 183]
train episode:276, reward = 0.912399531882935, state count = 5, state = [30, 80, 103, 168, 173]
train episode:277, reward = 0.9957321179136696, state count = 5, state = [54, 103, 168, 173, 183]
train episode:278, reward = 0.943090625738801, state count = 5, state = [19, 103, 168, 173, 183]
evaluate episode:27.9, reward = 0.9957321179136696, state count = 5, state = [54, 103, 168, 173, 183]
train episode:279, reward = 0.9201247783743994, state count = 5, state = [10, 103, 168, 173, 183]
train episode:280, reward = 0.9806918646691083, state count = 5, state = [68, 103, 143, 168, 173]
train episode:281, reward = 0.9957321179136696, state count = 5, state = [54, 103, 168, 173, 183]
train episode:282, reward = 0.9693089212581191, state count = 5, state = [19, 103, 120, 168, 173]
train episode:283, reward = 0.9130072316388507, state count = 5, state = [49, 103, 105, 168, 173]
train episode:284, reward = 0.9178852854573336, state count = 5, state = [42, 44, 103, 168, 173]
train episode:285, reward = 0.8971547981747279, state count = 5, state = [82, 103, 112, 139, 173]
train episode:286, reward = 0.9156486818304271, state count = 5, state = [1, 39, 103, 168, 173]
train episode:287, reward = 0.9573191026430699, state count = 5, state = [103, 110, 168, 173, 183]
train episode:288, reward = 0.9203280304069198, state count = 5, state = [15, 103, 168, 173, 183]
evaluate episode:28.9, reward = 0.9432926426228689, state count = 5, state = [31, 103, 168, 173, 183]
train episode:289, reward = 0.9150397519640538, state count = 5, state = [81, 103, 108, 168, 173]
train episode:290, reward = 0.8983709987277718, state count = 5, state = [45, 72, 73, 103, 173]
train episode:291, reward = 0.9256088710897641, state count = 5, state = [103, 144, 168, 173, 183]
